country,food_category,consumption,co2_emission
Macedonia,7,10.35,36.63
Macedonia,8,18.77,20.16
Macedonia,1,7.69,237.3
Macedonia,4,0.94,32.92
Macedonia,3,5.47,8.73
Macedonia,2,6.38,5.86
Macedonia,5,157.93,224.96
Macedonia,11,104.8,19.99
Macedonia,9,2.81,3.6
Macedonia,10,0.46,0.21
Macedonia,6,5.87,10.39
Hungary,7,34.93,123.63
Hungary,8,23.78,25.54
Hungary,1,4.96,153.06
Hungary,4,0.11,3.85
Hungary,3,4.93,7.87
Hungary,2,12.45,11.44
Hungary,5,159.05,226.55
Hungary,11,109.98,20.97
Hungary,9,2.15,2.75
Hungary,10,0.01,0
Hungary,6,0.64,1.13
Trinidad and Tobago,7,8.92,31.57
Trinidad and Tobago,8,58.27,62.59
Trinidad and Tobago,1,6.13,189.16
Trinidad and Tobago,4,2.79,97.71
Trinidad and Tobago,3,20.54,32.8
Trinidad and Tobago,2,4.2,3.86
Trinidad and Tobago,5,103.8,147.85
Trinidad and Tobago,11,90.17,17.2
Trinidad and Tobago,9,16.38,20.96
Trinidad and Tobago,10,0.04,0.02
Trinidad and Tobago,6,3.78,6.69
Tunisia,7,0,0
Tunisia,8,18.5,19.87
Tunisia,1,5.53,170.64
Tunisia,4,5.34,187.01
Tunisia,3,12.63,20.17
Tunisia,2,7.67,7.05
Tunisia,5,114.47,163.05
Tunisia,11,197.5,37.66
Tunisia,9,1.07,1.37
Tunisia,10,1.88,0.85
Tunisia,6,6.34,11.22
Egypt,7,0.02,0.07
Egypt,8,14.43,15.5
Egypt,1,12.88,397.45
Egypt,4,1.58,55.33
Egypt,3,21.46,34.26
Egypt,2,4.59,4.22
Egypt,5,59.46,84.69
Egypt,11,146.83,28
Egypt,9,39.77,50.89
Egypt,10,0.64,0.29
Egypt,6,1.82,3.22
Mauritius,7,4.08,14.44
Mauritius,8,38.51,41.37
Mauritius,1,5.99,184.84
Mauritius,4,4.08,142.88
Mauritius,3,19.66,31.39
Mauritius,2,6.32,5.81
Mauritius,5,117.27,167.04
Mauritius,11,114.02,21.74
Mauritius,9,45.56,58.3
Mauritius,10,0.3,0.14
Mauritius,6,2.33,4.12
Bulgaria,7,26.26,92.95
Bulgaria,8,20.68,22.21
Bulgaria,1,3.84,118.49
Bulgaria,4,1.63,57.08
Bulgaria,3,6.24,9.96
Bulgaria,2,8.36,7.68
Bulgaria,5,155.71,221.79
Bulgaria,11,121.17,23.11
Bulgaria,9,2.24,2.87
Bulgaria,10,0.04,0.02
Bulgaria,6,2.26,4
Morocco,7,0.01,0.04
Morocco,8,20.77,22.31
Morocco,1,8.04,248.1
Morocco,4,4.36,152.69
Morocco,3,17.44,27.85
Morocco,2,6.68,6.14
Morocco,5,54.68,77.89
Morocco,11,179.7,34.27
Morocco,9,1.1,1.41
Morocco,10,0,0
Morocco,6,3.23,5.72
Slovakia,7,31.78,112.49
Slovakia,8,15.13,16.25
Slovakia,1,5.19,160.15
Slovakia,4,0.16,5.6
Slovakia,3,8.39,13.4
Slovakia,2,16.05,14.74
Slovakia,5,143.14,203.89
Slovakia,11,123.62,23.57
Slovakia,9,2.88,3.69
Slovakia,10,0.02,0.01
Slovakia,6,3.7,6.55
Niger,7,0.09,0.32
Niger,8,1.08,1.16
Niger,1,8.97,276.8
Niger,4,4.17,146.03
Niger,3,2.7,4.31
Niger,2,0.3,0.28
Niger,5,58.92,83.93
Niger,11,4.79,0.91
Niger,9,13.17,16.85
Niger,10,0,0
Niger,6,6.95,12.3
